security_id,trading_symbol,company_name,lot_size,tick_size
20159,ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,1.0,5.0
25398,ARKADE,ARKADE DEVELOPERS LIMITED,1.0,1.0
17263,ARMANFIN,ARMAN FIN SERV LTD,1.0,10.0
14557,AROGRANITE,ARO GRANITE IND. LTD.,1.0,1.0
16913,ARTEMISMED,ARTEMIS MED SERVICE LTD,1.0,5.0
6156,ARTNIRMAN,ART NIRMAN LIMITED,1.0,1.0
2814,ARVEE,ARVEE LABORATORIES I LTD,1.0,1.0
193,ARVIND,ARVIND LIMITED,1.0,5.0
9111,ARVINDFASN,ARVIND FASHIONS LIMITED,1.0,5.0
10457,ARVSMART,ARVIND SMARTSPACES LTD,1.0,5.0
5378,ASAHIINDIA,ASAHI INDIA GLASS LIMITED,1.0,5.0
10634,ASAL,AUTOMOTIVE STAMPINGS & AS,1.0,5.0
17598,ASALCBR,ASSO ALCOHOLS & BREW LTD,1.0,10.0
203,ASHAPURMIN,ASHAPURA MINECHEM LTD,1.0,5.0
24403,ASHIANA,ASHIANA HOUSING LTD,1.0,5.0
20182,ASHOKA,ASHOKA BUILDCON LTD,1.0,1.0
16943,ASHOKAMET,ASHOKA METCAST LIMITED,1.0,1.0
212,ASHOKLEY,ASHOK LEYLAND LTD,1.0,1.0
7030,ASIANENE,ASIAN ENERGY SERVICES LTD,1.0,5.0
236,ASIANPAINT,ASIAN PAINTS LIMITED,1.0,10.0
14889,ASIANTILES,ASIAN GRANITO IND. LTD.,1.0,1.0
20152,ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,1.0,5.0
14064,ASMS,BARTRONICS INDIA LIMITED,1.0,1.0
17270,ASPINWALL,ASPINWALL & CO LTD,1.0,5.0
17728,ASTEC,ASTEC LIFESCIENCES LTD,1.0,5.0
1508,ASTERDM,ASTER DM HEALTHCARE LTD.,1.0,5.0
14418,ASTRAL,ASTRAL LIMITED,1.0,10.0
11618,ASTRAMICRO,ASTRA MICROWAVE LTD,1.0,10.0
5610,ASTRAZEN,ASTRAZENECA PHARMA IND LT,1.0,50.0
15649,ATALREAL,ATAL REALTECH LIMITED,1.0,1.0
15404,ATAM,ATAM VALVES LIMITED,1.0,1.0
6066,ATGL,ADANI TOTAL GAS LIMITED,1.0,5.0
757645,ATHERENERG,ATHER ENERGY LIMITED,1.0,5.0
17778,ATL,ALLCARGO TERMINALS LTD,1.0,1.0
13585,ATLANTAA,ATLANTAA LIMITED,1.0,1.0
263,ATUL,ATUL LTD,1.0,50.0
30023,ATULAUTO,ATUL AUTO LIMITED,1.0,5.0
21238,AUBANK,AU SMALL FINANCE BANK LTD,1.0,5.0
12022,AURIONPRO,AURIONPRO SOLN LTD,1.0,10.0
275,AUROPHARMA,AUROBINDO PHARMA LTD,1.0,10.0
10310,AURUM,AURUM PROPTECH LIMITED,1.0,1.0
4037,AUSOMENT,AUSOM ENTERPRISE LIMITED,1.0,1.0
278,AUTOAXLES,AUTOMOTIVE AXLES LIMITED,1.0,10.0
7880,AUTOBEES,NIPPONAMC - NETFAUTO,1.0,1.0
7844,AUTOIETF,ICICIPRAMC - ICICIAUTO,1.0,1.0
14106,AUTOIND,AUTOLINE INDUSTRIES LTD,1.0,1.0
21406,AVADHSUGAR,AVADH SUG & ENERGY LTD,1.0,5.0
15058,AVALON,AVALON TECHNOLOGIES LTD,1.0,5.0
24610,AVANTEL,AVANTEL LIMITED,1.0,1.0
7936,AVANTIFEED,AVANTI FEEDS LIMITED,1.0,5.0
15589,AVG,AVG LOGISTICS LIMITED,1.0,5.0
25984,AVL,ADITYA VISION LIMITED,1.0,5.0
8827,AVROIND,AVRO INDIA LIMITED,1.0,1.0
14008,AVTNPL,AVT NATURAL PRODUCTS LTD,1.0,1.0
23864,AWFIS,AWFIS SPACE SOLUTIONS LTD,1.0,5.0
1797,AWHCL,ANTONY WASTE HDG CELL LTD,1.0,5.0
8110,AWL,AWL AGRI BUSINESS LIMITED,1.0,5.0
5900,AXISBANK,AXIS BANK LIMITED,1.0,10.0
1044,AXISBNKETF,AXISAMC - AXISBNKETF,1.0,1.0
3530,AXISBPSETF,AXISAMC - AXISBPSETF,1.0,1.0
5732,AXISCETF,AXISAMC - AXISCETF,1.0,1.0
20532,AXISGOLD,AXIS MF - AXIS GOLD ETF,1.0,1.0
3608,AXISHCETF,AXISAMC - AXISHCETF,1.0,1.0
11193,AXISILVER,AXISAMC - AXISILVER,1.0,1.0
21252,AXISNIFTY,AXISAMC - AXISNIFTY,1.0,1.0
3010,AXISTECETF,AXISAMC - AXISTECETF,1.0,1.0
30155,AXISVALUE,AXISAMC - AXISVALUE,1.0,1.0
9902,AXITA,AXITA COTTON LIMITED,1.0,1.0
14742,AXSENSEX,AXISAMC - AXSENSEX,1.0,1.0
10285,AYMSYNTEX,AYM SYNTEX LIMITED,1.0,1.0
20905,AZAD,AZAD ENGINEERING LIMITED,1.0,10.0
13794,BAIDFIN,BAID FINSERV LIMITED,1.0,1.0
16669,BAJAJ-AUTO,BAJAJ AUTO LIMITED,1.0,50.0
19531,BAJAJCON,BAJAJ CONSUMER CARE LTD,1.0,1.0
15034,BAJAJELEC,BAJAJ ELECT.LTD,1.0,5.0
16675,BAJAJFINSV,BAJAJ FINSERV LTD.,1.0,10.0
